time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.6705	15.5542	4.59651	1.99764	0.640991	lidar	3.5005	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5852	15.7516	4.572	2.01811	0.613096	radar	1.34241	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.476	15.971	4.60804	2.05017	0.61456	lidar	0.0936063	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3803	16.1757	4.61393	2.05701	0.54981	radar	1.89778	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2718	16.3528	4.56324	2.08666	0.55289	lidar	0.428871	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1586	16.5444	4.54971	2.11626	0.559423	radar	0.22969	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0198	16.7667	4.62539	2.14684	0.562053	lidar	0.352265	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8611	16.9584	4.64234	2.21911	0.679174	radar	6.36186	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6698	17.2124	4.83005	2.25856	0.684089	lidar	2.09197	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5756	17.4153	4.78348	2.22152	0.509586	radar	6.17044	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.352	17.6203	4.90781	2.27009	0.534959	lidar	3.77098	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.214	17.8145	4.89758	2.26596	0.455055	radar	1.84641	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0898	17.998	4.84794	2.27793	0.443126	lidar	0.917513	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9138	18.1482	4.80893	2.33096	0.51774	radar	2.44777	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7951	18.2806	4.67407	2.35022	0.510885	lidar	1.02008	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6665	18.4569	4.64033	2.35597	0.477212	radar	6.41987	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4628	18.6503	4.74644	2.38365	0.480912	lidar	0.606734	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2841	18.7873	4.71563	2.42486	0.521537	radar	1.89514	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1281	18.9203	4.64929	2.44911	0.519912	lidar	0.233672	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.961	19.0906	4.66443	2.4601	0.492773	radar	2.96073	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7406	19.2099	4.68459	2.50217	0.513278	lidar	2.80734	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5475	19.3651	4.72094	2.52885	0.525041	radar	3.27382	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3104	19.537	4.84628	2.55437	0.522411	lidar	0.827334	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0888	19.617	4.81129	2.61193	0.582673	radar	10.1134	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8797	19.7629	4.84857	2.63242	0.571928	lidar	0.731853	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6952	19.8866	4.78424	2.62908	0.487561	radar	3.22978	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4551	20.048	4.89808	2.6443	0.474592	lidar	1.1496	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.235	20.196	4.94478	2.65379	0.449626	radar	5.45381	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0555	20.3225	4.8899	2.66424	0.436521	lidar	1.87416	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8232	20.4041	4.88909	2.70729	0.480097	radar	2.28873	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6099	20.522	4.89272	2.72356	0.471059	lidar	0.569177	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3678	20.6115	4.93216	2.76461	0.516694	radar	1.24929	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1225	20.683	4.9425	2.79855	0.526025	lidar	0.698174	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8822	20.7563	4.96113	2.83627	0.556433	radar	0.262824	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6031	20.8203	5.03381	2.87227	0.564629	lidar	1.48481	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3528	20.8521	5.04995	2.93068	0.638121	radar	1.91907	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1119	20.8855	5.02309	2.96779	0.644933	lidar	0.178569	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8813	20.9459	4.99128	2.9844	0.613567	radar	1.96906	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6976	20.978	4.8636	3.01229	0.614433	lidar	2.13787	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4419	21.0218	4.90295	3.03672	0.604163	radar	2.54382	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1949	21.0573	4.9183	3.06165	0.597232	lidar	0.158594	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.959	21.0767	4.90771	3.09219	0.603246	radar	0.912836	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7227	21.0417	4.86481	3.14026	0.626499	lidar	1.78851	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.479	21.0276	4.85414	3.17419	0.625723	radar	1.04672	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2706	21.0166	4.78556	3.20611	0.628946	lidar	0.640593	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0184	20.9775	4.80139	3.24442	0.634103	radar	4.08432	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8158	20.9357	4.72434	3.28411	0.646917	lidar	0.372581	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5697	20.9359	4.67864	3.27963	0.559099	radar	5.74256	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2669	20.9765	4.841	3.26771	0.502548	lidar	3.70161	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
